Pos0x,Pos0y,Rot0,Pos1x,Pos1y,Rot1
-0.01760333,-1.276619,-0.007217407,-0.008410954,-2.019631,8.014547
-0.01784323,-1.278219,0.006378174,-0.01010528,-2.03162,8.072463
-0.01775797,-1.275297,-0.0008544922,-0.009332595,-2.032485,8.055299
-0.01796461,-1.279023,0.01316833,-0.008097891,-2.026916,8.017728
-0.01775797,-1.275297,-0.0008544922,-0.008437756,-2.029325,8.029366
-0.01705245,-1.27767,-0.03359985,-0.008316567,-2.02529,8.020539
-0.01744787,-1.277946,-0.01361084,-0.008533766,-2.023657,8.023327
-0.01748409,-1.275825,-0.01405334,-0.008654291,-2.027683,8.032102
-0.01772328,-1.277419,-0.0004272461,-0.007880641,-2.028553,8.014964
-0.01811926,-1.277702,0.01953125,-0.008097891,-2.026916,8.017728
-0.01744787,-1.277946,-0.01361084,-0.008558946,-2.03336,8.038184
-0.01803181,-1.274768,0.01234436,-0.007880641,-2.028553,8.014964
-0.01815319,-1.275573,0.01911926,-0.01010528,-2.03162,8.072463
-0.01780987,-1.280356,0.006744385,-0.008680086,-2.0374,8.047029
-0.0174116,-1.280069,-0.01318359,-0.008558946,-2.03336,8.038184
-0.01760333,-1.276619,-0.007217407,-0.007544346,-2.026165,8.003428
-0.01787721,-1.276091,0.005966187,-0.008219793,-2.030957,8.026575
-0.01811926,-1.277702,0.01953125,-0.008654291,-2.027683,8.032102
-0.01760333,-1.276619,-0.007217407,-0.008654291,-2.027683,8.032102
-0.01803181,-1.274768,0.01234436,-0.007663344,-2.030195,8.012227
-0.01756711,-1.278741,-0.006790161,-0.008992729,-2.030082,8.043688
-0.01775797,-1.275297,-0.0008544922,-0.008001069,-2.032588,8.023787
-0.01772328,-1.277419,-0.0004272461,-0.008001069,-2.032588,8.023787
-0.01763731,-1.274497,-0.007659912,-0.008654291,-2.027683,8.032102
-0.01772328,-1.277419,-0.0004272461,-0.008097891,-2.026916,8.017728
-0.01756711,-1.278741,-0.006790161,-0.008219793,-2.030957,8.026575
-0.01760333,-1.276619,-0.007217407,-0.008316567,-2.02529,8.020539
-0.01744787,-1.277946,-0.01361084,-0.008219793,-2.030957,8.026575
-0.01751878,-1.273708,-0.01452637,-0.008749392,-2.02203,8.026137
-0.01775797,-1.275297,-0.0008544922,-0.008897384,-2.035758,8.049768
-0.01787721,-1.276091,0.005966187,-0.008992729,-2.030082,8.043688
-0.01756711,-1.278741,-0.006790161,-0.00834022,-2.034997,8.035421
-0.01791257,-1.273979,0.005493164,-0.008654291,-2.027683,8.032102
-0.01768849,-1.279546,0,-0.008437756,-2.029325,8.029366
-0.01756711,-1.278741,-0.006790161,-0.007880641,-2.028553,8.014964
-0.01796461,-1.279023,0.01316833,-0.008122111,-2.036643,8.032703
-0.01717026,-1.278459,-0.02674866,-0.007880641,-2.028553,8.014964
-0.01803181,-1.274768,0.01234436,-0.008558946,-2.03336,8.038184
-0.01784323,-1.278219,0.006378174,-0.008097891,-2.026916,8.017728
-0.01787721,-1.276091,0.005966187,-0.009115347,-2.034122,8.052536
-0.01791257,-1.273979,0.005493164,-0.008558946,-2.03336,8.038184
-0.01803181,-1.274768,0.01234436,-0.009332595,-2.032485,8.055299
-0.01791257,-1.273979,0.005493164,-0.008097891,-2.026916,8.017728
-0.01796461,-1.279023,0.01316833,-0.009672461,-2.034883,8.066883
-0.01760333,-1.276619,-0.007217407,-0.00877548,-2.031718,8.040926
-0.01811926,-1.277702,0.01953125,-0.008654291,-2.027683,8.032102
-0.01763731,-1.274497,-0.007659912,-0.007880641,-2.028553,8.014964
-0.0173272,-1.277141,-0.02038574,-0.007978129,-2.022885,8.008925
-0.01768849,-1.279546,0,-0.008533766,-2.023657,8.023327
-0.01815319,-1.275573,0.01911926,-0.008097891,-2.026916,8.017728
-0.01799931,-1.276902,0.01274109,-0.008558946,-2.03336,8.038184
-0.01787721,-1.276091,0.005966187,-0.009115347,-2.034122,8.052536
-0.01787721,-1.276091,0.005966187,-0.008533766,-2.023657,8.023327
-0.01763731,-1.274497,-0.007659912,-0.008437756,-2.029325,8.029366
-0.01729164,-1.279269,-0.01998901,-0.009209215,-2.028444,8.046453
-0.01787721,-1.276091,0.005966187,-0.007978129,-2.022885,8.008925
-0.01748409,-1.275825,-0.01405334,-0.007663344,-2.030195,8.012227
-0.01768849,-1.279546,0,-0.007978129,-2.022885,8.008925
-0.01787721,-1.276091,0.005966187,-0.008437756,-2.029325,8.029366
-0.01768849,-1.279546,0,-0.009115347,-2.034122,8.052536
-0.01756711,-1.278741,-0.006790161,-0.008533766,-2.023657,8.023327
-0.01772328,-1.277419,-0.0004272461,-0.008965066,-2.020397,8.028924
-0.01780987,-1.280356,0.006744385,-0.007880641,-2.028553,8.014964
-0.01806564,-1.272657,0.01185608,-0.00877548,-2.031718,8.040926
-0.01768849,-1.279546,0,-0.008219793,-2.030957,8.026575
-0.01811926,-1.277702,0.01953125,-0.009115347,-2.034122,8.052536
-0.01823993,-1.278501,0.02633667,-0.008558946,-2.03336,8.038184
-0.01753226,-1.280874,-0.006408691,-0.00877548,-2.031718,8.040926
-0.01803181,-1.274768,0.01234436,-0.008437756,-2.029325,8.029366
-0.01799931,-1.276902,0.01274109,-0.008316567,-2.02529,8.020539
-0.01799931,-1.276902,0.01274109,-0.008219793,-2.030957,8.026575
-0.01784323,-1.278219,0.006378174,-0.008558946,-2.03336,8.038184
-0.01753226,-1.280874,-0.006408691,-0.008097891,-2.026916,8.017728
-0.01787721,-1.276091,0.005966187,-0.008654291,-2.027683,8.032102
-0.01794783,-1.271873,0.004989624,-0.008437756,-2.029325,8.029366
-0.01815319,-1.275573,0.01911926,-0.008219793,-2.030957,8.026575
-0.0174116,-1.280069,-0.01318359,-0.00834022,-2.034997,8.035421
-0.01799931,-1.276902,0.01274109,-0.009115347,-2.034122,8.052536
-0.01760333,-1.276619,-0.007217407,-0.008437756,-2.029325,8.029366
-0.0174116,-1.280069,-0.01318359,-0.01023095,-2.035655,8.081285
-0.01827386,-1.276373,0.02592468,-0.008316567,-2.02529,8.020539
-0.01756711,-1.278741,-0.006790161,-0.008219793,-2.030957,8.026575
-0.01756711,-1.278741,-0.006790161,-0.007425298,-2.022133,7.994627
-0.01803181,-1.274768,0.01234436,-0.009115347,-2.034122,8.052536
-0.01744787,-1.277946,-0.01361084,-0.009115347,-2.034122,8.052536
-0.01815319,-1.275573,0.01911926,-0.008992729,-2.030082,8.043688
-0.01787721,-1.276091,0.005966187,-0.00877548,-2.031718,8.040926
-0.01744787,-1.277946,-0.01361084,-0.007425298,-2.022133,7.994627
-0.01827386,-1.276373,0.02592468,-0.009209215,-2.028444,8.046453
-0.01744787,-1.277946,-0.01361084,-0.007444521,-2.031832,8.009461
-0.01794783,-1.271873,0.004989624,-0.008558946,-2.03336,8.038184
-0.0174116,-1.280069,-0.01318359,-0.008097891,-2.026916,8.017728
-0.0174116,-1.280069,-0.01318359,-0.008097891,-2.026916,8.017728
-0.01744787,-1.277946,-0.01361084,-0.007544346,-2.026165,8.003428
-0.01815319,-1.275573,0.01911926,-0.008001069,-2.032588,8.023787
-0.01772328,-1.277419,-0.0004272461,-0.009332595,-2.032485,8.055299
-0.01787721,-1.276091,0.005966187,-0.008437756,-2.029325,8.029366
-0.0173272,-1.277141,-0.02038574,-0.007663344,-2.030195,8.012227
-0.01779262,-1.273179,-0.001312256,-0.009332595,-2.032485,8.055299
-0.01787721,-1.276091,0.005966187,-0.007663344,-2.030195,8.012227
-0.01768849,-1.279546,0,-0.008219793,-2.030957,8.026575
-0.01793125,-1.281166,0.01351929,-0.00834022,-2.034997,8.035421
-0.01787721,-1.276091,0.005966187,-0.008558946,-2.03336,8.038184
-0.01748409,-1.275825,-0.01405334,-0.00877548,-2.031718,8.040926
-0.01791257,-1.273979,0.005493164,-0.008654291,-2.027683,8.032102
-0.01756711,-1.278741,-0.006790161,-0.00824239,-2.040692,8.041595
-0.01815319,-1.275573,0.01911926,-0.008097891,-2.026916,8.017728
-0.0174116,-1.280069,-0.01318359,-0.008654291,-2.027683,8.032102
-0.01779262,-1.273179,-0.001312256,-0.00877548,-2.031718,8.040926
-0.0173272,-1.277141,-0.02038574,-0.008097891,-2.026916,8.017728
-0.01811926,-1.277702,0.01953125,-0.007760881,-2.024522,8.006166
-0.01736271,-1.27502,-0.02082825,-0.007880641,-2.028553,8.014964
-0.01772328,-1.277419,-0.0004272461,-0.008437756,-2.029325,8.029366
-0.01744787,-1.277946,-0.01361084,-0.007444521,-2.031832,8.009461
-0.01736271,-1.27502,-0.02082825,-0.008870777,-2.026046,8.034866
-0.01744787,-1.277946,-0.01361084,-0.009115347,-2.034122,8.052536
-0.01763731,-1.274497,-0.007659912,-0.008992729,-2.030082,8.043688
-0.0174116,-1.280069,-0.01318359,-0.009424839,-2.026818,8.049264
-0.01779262,-1.273179,-0.001312256,-0.00834022,-2.034997,8.035421
-0.0173272,-1.277141,-0.02038574,-0.007306966,-2.018112,7.985872
-0.01772328,-1.277419,-0.0004272461,-0.009087116,-2.024424,8.037702
-0.01803181,-1.274768,0.01234436,-0.008437756,-2.029325,8.029366
-0.01784323,-1.278219,0.006378174,-0.008001069,-2.032588,8.023787
-0.01756711,-1.278741,-0.006790161,-0.008870777,-2.026046,8.034866
-0.01784323,-1.278219,0.006378174,-0.009238677,-2.038167,8.061401
-0.01756711,-1.278741,-0.006790161,-0.00877548,-2.031718,8.040926
-0.01729164,-1.279269,-0.01998901,-0.008219793,-2.030957,8.026575
-0.01744787,-1.277946,-0.01361084,-0.008437756,-2.029325,8.029366
-0.01772328,-1.277419,-0.0004272461,-0.009209215,-2.028444,8.046453
-0.0174116,-1.280069,-0.01318359,-0.008870777,-2.026046,8.034866
-0.0174116,-1.280069,-0.01318359,-0.008437756,-2.029325,8.029366
-0.01803181,-1.274768,0.01234436,-0.008437756,-2.029325,8.029366
-0.01760333,-1.276619,-0.007217407,-0.008654291,-2.027683,8.032102
-0.01768849,-1.279546,0,-0.00834022,-2.034997,8.035421
-0.01748409,-1.275825,-0.01405334,-0.008097891,-2.026916,8.017728
-0.01760333,-1.276619,-0.007217407,-0.007880641,-2.028553,8.014964
-0.01775797,-1.275297,-0.0008544922,-0.008897384,-2.035758,8.049768
-0.01744787,-1.277946,-0.01361084,-0.008992729,-2.030082,8.043688
-0.01756711,-1.278741,-0.006790161,-0.008437756,-2.029325,8.029366
-0.01763731,-1.274497,-0.007659912,-0.008992729,-2.030082,8.043688
-0.01744787,-1.277946,-0.01361084,-0.007663344,-2.030195,8.012227
-0.01791257,-1.273979,0.005493164,-0.007544346,-2.026165,8.003428
-0.01772328,-1.277419,-0.0004272461,-0.007107511,-2.029438,7.997902
-0.01744787,-1.277946,-0.01361084,-0.009332595,-2.032485,8.055299
-0.01806564,-1.272657,0.01185608,-0.008410954,-2.019631,8.014547
-0.01768849,-1.279546,0,-0.009209215,-2.028444,8.046453
-0.01729164,-1.279269,-0.01998901,-0.007760881,-2.024522,8.006166
-0.01763731,-1.274497,-0.007659912,-0.00877548,-2.031718,8.040926
-0.01748409,-1.275825,-0.01405334,-0.007880641,-2.028553,8.014964
-0.01772328,-1.277419,-0.0004272461,-0.008001069,-2.032588,8.023787
-0.01799931,-1.276902,0.01274109,-0.008097891,-2.026916,8.017728
-0.01744787,-1.277946,-0.01361084,-0.009332595,-2.032485,8.055299
-0.01787721,-1.276091,0.005966187,-0.008001069,-2.032588,8.023787
-0.01779262,-1.273179,-0.001312256,-0.009209215,-2.028444,8.046453
-0.01775797,-1.275297,-0.0008544922,-0.00877548,-2.031718,8.040926
-0.01756711,-1.278741,-0.006790161,-0.008219793,-2.030957,8.026575
-0.01756711,-1.278741,-0.006790161,-0.008965066,-2.020397,8.028924
-0.01815319,-1.275573,0.01911926,-0.008654291,-2.027683,8.032102
-0.01763731,-1.274497,-0.007659912,-0.007760881,-2.024522,8.006166
-0.01815319,-1.275573,0.01911926,-0.008654291,-2.027683,8.032102
-0.01784323,-1.278219,0.006378174,-0.008219793,-2.030957,8.026575
-0.01784323,-1.278219,0.006378174,-0.008897384,-2.035758,8.049768
-0.01815319,-1.275573,0.01911926,-0.008219793,-2.030957,8.026575
-0.0173272,-1.277141,-0.02038574,-0.008680086,-2.0374,8.047029
-0.01763731,-1.274497,-0.007659912,-0.009087116,-2.024424,8.037702
-0.0173272,-1.277141,-0.02038574,-0.007225649,-2.033478,8.006748
-0.01799931,-1.276902,0.01274109,-0.007760881,-2.024522,8.006166
-0.01760333,-1.276619,-0.007217407,-0.008897384,-2.035758,8.049768
-0.01753226,-1.280874,-0.006408691,-0.008001069,-2.032588,8.023787
-0.01803181,-1.274768,0.01234436,-0.007643261,-2.020507,7.997437
-0.0174116,-1.280069,-0.01318359,-0.008870777,-2.026046,8.034866
-0.01772328,-1.277419,-0.0004272461,-0.009238677,-2.038167,8.061401
-0.01815319,-1.275573,0.01911926,-0.008437756,-2.029325,8.029366
-0.01796461,-1.279023,0.01316833,-0.008992729,-2.030082,8.043688
-0.01725523,-1.281401,-0.01960754,-0.009332595,-2.032485,8.055299
-0.01772328,-1.277419,-0.0004272461,-0.008437756,-2.029325,8.029366
-0.01744787,-1.277946,-0.01361084,-0.008533766,-2.023657,8.023327
-0.01756711,-1.278741,-0.006790161,-0.007643261,-2.020507,7.997437
-0.01772328,-1.277419,-0.0004272461,-0.008992729,-2.030082,8.043688
-0.01791257,-1.273979,0.005493164,-0.008097891,-2.026916,8.017728
-0.01787721,-1.276091,0.005966187,-0.007782958,-2.034235,8.02107
-0.01803181,-1.274768,0.01234436,-0.009332595,-2.032485,8.055299
-0.01768849,-1.279546,0,-0.008897384,-2.035758,8.049768
-0.01760333,-1.276619,-0.007217407,-0.01010528,-2.03162,8.072463
-0.01744787,-1.277946,-0.01361084,-0.008437756,-2.029325,8.029366
-0.01815319,-1.275573,0.01911926,-0.008533766,-2.023657,8.023327
-0.01768849,-1.279546,0,-0.008897384,-2.035758,8.049768
-0.01744787,-1.277946,-0.01361084,-0.008870777,-2.026046,8.034866
-0.01760333,-1.276619,-0.007217407,-0.008316567,-2.02529,8.020539
-0.01791257,-1.273979,0.005493164,-0.008001069,-2.032588,8.023787
-0.01709876,-1.28274,-0.02604675,-0.008533766,-2.023657,8.023327
-0.01729164,-1.279269,-0.01998901,-0.007760881,-2.024522,8.006166
-0.01337777,-1.276906,-0.2217407,-0.008654291,-2.027683,8.032102
-0.007665318,-1.264515,-0.5564423,-0.008437756,-2.029325,8.029366
-0.007255313,-1.269187,-0.5683136,-0.007444521,-2.031832,8.009461
-0.007825004,-1.270676,-0.5328522,-0.009238677,-2.038167,8.061401
-0.008194676,-1.270754,-0.5118866,-0.008219793,-2.030957,8.026575
-0.008398166,-1.272186,-0.4974823,-0.008437756,-2.029325,8.029366
-0.008127028,-1.272803,-0.5111084,-0.007760881,-2.024522,8.006166
-0.008296064,-1.27147,-0.5046997,-0.007978129,-2.022885,8.008925
-0.008296064,-1.27147,-0.5046997,-0.009087116,-2.024424,8.037702
-0.008531076,-1.268086,-0.4990387,-0.00877548,-2.031718,8.040926
-0.008500983,-1.272907,-0.4902954,-0.007978129,-2.022885,8.008925
-0.008500983,-1.272907,-0.4902954,-0.007902524,-2.038284,8.029963
-0.00822913,-1.273524,-0.5039368,-0.009672461,-2.034883,8.066883
-0.008127028,-1.272803,-0.5111084,-0.008558946,-2.03336,8.038184
-0.00866778,-1.271558,-0.4837952,-0.00834022,-2.034997,8.035421
